drop,vmult,mkt_drop,tp,stop_atr,n,mean_net,cagr,mdd,calmar
0.04,1.5,0.0,0.05,1.5,680,0.002335865182471045,0.03268784253432222,0.19015668183062395,0.17189952106672687
0.08,1.5,0.0,0.05,1.5,263,0.0031406897418434,0.019812303326791625,0.1253116607320105,0.1581042275799209
0.03,1.5,0.0,0.05,1.5,783,0.0012220308470338595,0.02617398993661202,0.18307627229824042,0.14296768012609126
0.04,1.5,0.0,0.08,1.5,645,0.002312093727608089,0.03687013917310544,0.26923498603816687,0.136944086337571
0.04,1.5,0.0,0.05,3.0,602,0.0016238575145050079,0.038688603630469,0.2917844040473292,0.13259311702003604
0.04,1.5,0.0,0.05,0.5,864,-0.000760378887898773,0.019152010678966436,0.17223527866373178,0.11119679329087036
0.04,1.5,0.015,0.05,1.5,534,0.0017258435345387868,0.015259157107547106,0.16792948499708937,0.09086645569008672
0.04,1.5,0.0,0.04,1.5,700,0.0016252023462784682,0.015530958082632607,0.2520631294183976,0.06161535056106081
0.04,1.5,0.0,0.05,2.0,641,0.0012490585514143412,0.015041271995861472,0.29818033097950625,0.050443541820655
0.04,1.5,0.0,0.06,1.5,664,0.0015408060593210277,0.008632059400898617,0.24193955434178904,0.035678578578780346
0.04,1.5,0.03,0.05,1.5,631,0.0004805232390266496,0.003229509973404099,0.21464241011824303,0.015046001261470248
0.04,2.0,0.0,0.05,1.5,381,0.0006991732709599882,-0.0022069354918513584,0.16918067308292228,-0.013044844021690646
0.08,1.5,0.0,0.03,1.5,285,0.0006357188049315691,-0.004109197041738399,0.16505895548459626,-0.0248953292456881
0.04,1.5,0.04,0.05,1.5,648,0.00035915074871301317,-0.0072913574493249644,0.277486874614123,-0.026276404819018644
0.04,1.5,0.0,0.05,1.0,767,0.00044349462244103817,-0.008918863939817223,0.28150929194468555,-0.03168230745850376
0.04,3.0,0.0,0.05,1.5,136,-0.0003818693960803045,-0.004296859625641081,0.1344652401578873,-0.03195517012869471
0.04,1.5,0.02,0.05,1.5,581,-9.74512621239301e-05,-0.008257825698395616,0.25622911666969195,-0.032228287736092376
0.04,1.5,0.0,0.03,1.5,740,4.5162446397074354e-05,-0.00845983142716844,0.2430145966054964,-0.034812029998765516
0.06,1.5,0.0,0.05,1.5,441,0.00034320541116283253,-0.013704472400313361,0.20555691508810225,-0.06666996532050302
0.04,3.0,0.0,0.03,1.5,138,-0.001384515890941714,-0.009346100987219774,0.1279233087099877,-0.07306018802568755
0.04,2.0,0.0,0.03,1.5,405,-0.00024877216002514664,-0.012930106314361978,0.17243843462345332,-0.07498389986314198
0.05,1.5,0.0,0.05,1.5,559,1.510579650323283e-05,-0.023604090443135384,0.3042321839712224,-0.07758577720156035
0.04,1.5,0.015,0.03,1.5,557,-0.0005768499417893212,-0.019808515156742534,0.22051731990771406,-0.08982748005930939
0.04,1.0,0.0,0.05,1.5,999,-6.479096843570475e-05,-0.038931772510371165,0.41013809769088116,-0.09492357020613537
0.03,1.5,0.0,0.03,1.5,854,-0.0009806959429921951,-0.03193118778439741,0.29375830933037617,-0.10869884108873291
0.06,1.5,0.0,0.03,1.5,478,-0.001170654398027103,-0.03181360448672199,0.2596519676558584,-0.12252402619527847
0.05,1.5,0.0,0.03,1.5,609,-0.0013436644769194517,-0.03344202478897351,0.2726496359844103,-0.12265567371190504
0.04,1.5,0.04,0.03,1.5,697,-0.0013037732725501882,-0.043985044157654696,0.31372112492787885,-0.14020427909585748
0.04,1.5,0.02,0.03,1.5,610,-0.0020539303985890435,-0.048144015635778525,0.3411737588266731,-0.1411128915698267
0.04,1.5,0.03,0.03,1.5,668,-0.001466730731834417,-0.04743185464569766,0.32558445392247526,-0.14568218498845042
0.04,1.0,0.0,0.03,1.5,1154,-0.0013421589147424246,-0.06521406366981453,0.4471577842409077,-0.14584128012111322
0.04,1.5,0.0,0.02,1.5,794,-0.0020186597579055564,-0.06754228218127178,0.3971902913898575,-0.17005018411937073
0.04,1.5,0.0,0.01,1.5,854,-0.0034283921292148087,-0.10454188145150545,0.483246344073326,-0.21633248287056395
